"C[C@@H](NC(=O)c1cncnc1)[C@@H]1CCN(C(=O)c2c[nH]c(=O)cn2)C1","ZINC000959253544","EBAD"
"CN(C[C@@H](O)CNCc1nncn1C)C(=O)CC(C)(C)C","ZINC001411002742","CCAD"
"Cc1nocc1CN1CC2(C1)CN(C(=O)c1cnc(C)n1C)CCO2","ZINC001053395109","ECAD"
"C[C@H](O)CNCC1(NC(=O)c2ccc(=O)n(C)n2)CCCC1","ZINC001373863335","DBAD"
"Cc1cnc(O)c(CNC(=O)NCc2ccc(Br)o2)c1","ZINC001365579786","EEAD"
"O=C(CCCF)N[C@H]1CC[C@@H](CNc2cc(Cl)c(O)nn2)C1","ZINC001123868169","EEAD"
"C=CCCC(=O)N[C@]12CCC[C@H]1CN(CCOc1ccc(F)cc1)C2","ZINC001111648667","EGED"
"C[C@@H](c1ccccc1)N1[C@@H]2CC[C@H]1[C@@H](NC(=O)CCCF)C2","ZINC001109614804","DGAD"
"COC(=O)[C@@H](C)N1CCC(Cn2ccnn2)CC1","ZINC000156026747","CCAD"
"CCN(C(=O)CCC(C)(C)NC(=O)OC(C)(C)C)[C@@H](C)C(=O)O","ZINC001603706281","EEAD"
"CCN1C[C@@H](CNC(=O)[C@@H]2CN(Cc3ccccc3)CCO2)CC1=O","ZINC000652836481","ECAD"
"Cc1[nH]c2ccc(C(=O)OC[C@@H]3CCO[C@@H]3C)cc2c1C","ZINC000793438404","CGAD"
"O=C([C@@H]1CN2CCC[C@@H]2CO1)N1CCOC2(CN(CC3CCC3)C2)C1","ZINC001053263101","ECAD"
"CCN(CCNC(=O)[C@]1(F)CCOC1)C(=O)c1cc(=O)n(C)cn1","ZINC001415714374","EBAD"
"Cc1noc(CCC(=O)N2CC[C@H](NC(=O)C3CC3)[C@@H](C)C2)n1","ZINC000945431999","DDAD"
"C[C@H]1Cc2cc(NC(=O)N3CCC[C@@H](C(C)(C)C(=O)O)C3)ccc2O1","ZINC001604826876","EGAD"
"COc1cncc(-c2ccn(Cc3cccnc3)c(=O)c2)c1","ZINC001239932094","CECD"
"C[C@H](C#N)OC(=O)c1ccc(Br)cc1Br","ZINC000768634641","EGED"
"CO[C@@H](C)CC(=O)N1CCC[C@@H](Nc2ncnc3ccsc32)C1","ZINC001095284362","EFAD"
"CCS(=O)(=O)CCCN1C[C@@H]2C(NC(=O)C(N)=O)[C@H]2C1","ZINC001114753384","DAAD"
"C[C@@H](C(=O)N(C)CC(=O)N1CC(NS(C)(=O)=O)C1)n1cccn1","ZINC000628801060","EAAD"
"CCc1cnccc1C(=O)N[C@@H]1C[C@H]2CC[C@H]1N(C(=O)COC)C2","ZINC001025953845","EDAD"
"CCc1nc(C)c(Cn2cc3c(c(-c4nn[nH]n4)c2=O)CCC3)o1","ZINC001604555338","EDAD"
"Cc1coc(C)c1C(=O)N(C)C1CN(CCc2ccccc2F)C1","ZINC001042680526","EGAD"
"CN(CCN1CC[C@@H](NC(=O)c2cnon2)[C@@H](O)C1)S(C)(=O)=O","ZINC001100041042","EAAD"
"C[C@H](CCNC(=O)N(C)CC(C)(C)N)N1CCCCC1","ZINC000659480032","CDAD"
"NC(=O)NC1(C(=O)N[C@@H]2CN(C(=O)[C@H]3CCCOC3)C[C@H]2O)CC1","ZINC001384728828","EAAD"
"O=C(C[C@@H]1NC(=O)NC1=O)N1CC[C@H](NC(=O)c2n[nH]cc2F)C1","ZINC000938668586","EAAD"
"Cc1cncc(C)c1C(=O)N1CC[C@@H]([C@H](C)NC(=O)c2ccco2)C1","ZINC000959202670","EFAD"
"C=C/C=C\CC(=O)N1CCc2c(F)ccc(C(=O)O)c2C1","ZINC001588720431","CFAD"
"CNC(=O)[C@H](C)N1CC[C@@H](NC(=O)c2cc[nH]c2)C1","ZINC001014522915","CBAD"
"C[C@H](C[S@](C)=O)NC(=O)C(=O)Nc1ccc2c(c1)CCC2","ZINC000181825733","DCAD"
"C[C@@H](CNC(=O)c1ccc(Cl)s1)N(C)C(=O)[C@@H]1COCCO1","ZINC001404484771","EDAD"
"Cn1cncc1CC(=O)N1CC(CNC(=O)C2CC(=O)NC(=O)C2)C1","ZINC001003231749","EAAD"
"Fc1ccc(F)c(-c2noc([C@@H]3CCNC[C@@H]3F)n2)c1","ZINC001211898050","CEAD"
"C[C@H]1CC[C@H](NC(=O)C(N)=O)CN1CC(=O)NC1CC1","ZINC001071789126","CAAD"
"CC[C@@H](C)CC(=O)N[C@@H]1CCN(C(=O)Cc2cccs2)C1","ZINC001414777303","DEAD"
"CC(C)C1(C(=O)N2[C@@H]3CC[C@H]2CN(C(=O)C[C@@H]2CC[C@@H](C)O2)C3)CC1","ZINC000969926245","EFAD"
"CCNC[C@H]1CCN(C(=O)c2sccc2F)C[C@H]1C","ZINC001075277676","CFAD"
"O=C(NCCC1=CCN(CCO)CC1)c1cnn2c1OCCC2","ZINC001160599722","DCAD"
"CC(C)[C@H](NC=O)C(=O)N(C)CCS(C)(=O)=O","ZINC000859154898","CBAD"
"O=C(CCn1cnnn1)N[C@@H]1[C@H]2CN(CC[C@@H]3CCOC3)C[C@H]21","ZINC001115017567","DBAD"
"CO[C@@]1(C)C[C@H](NC(=O)C(=O)N2CCC[C@@H]3COC[C@@H]32)C1(C)C","ZINC000643409205","DCAD"
"CO[C@@H]1CN[C@](C)(C(=O)N[C@@H]2CC(=O)N([C@@H]3C[C@H]3C)C2)C1","ZINC000638037727","CBAD"
"CC(C)C[C@H](CN)NC(=O)Nc1cc(F)cc(S(N)(=O)=O)c1","ZINC000415153574","ECAD"
"O=C(CN1C[C@H](O)[C@H](CNC(=O)c2cn[nH]c2)C1)NC1CC1","ZINC000957898355","DAAD"
"C[C@@H](NC(=O)[C@H]1NCC1(C)C)C(=O)N1CCS(=O)(=O)CC1","ZINC000645922125","DAAD"
"Cc1cnc(CNC(=O)C(=O)N2CC[C@](C)(C(=O)O)C2)c(C)c1","ZINC000927963140","DCAD"
"COC(=O)c1cnc(N[C@H]2CCN(C(=O)CCn3ccnn3)C2)nc1","ZINC001058855518","EBAD"
"N#Cc1ccc(C(=O)NC[C@H]2CCN2CCN2C(=O)CNC2=O)[nH]1","ZINC001038174903","EBED"
"CCc1nocc1CN1CC[C@H](NC(=O)CNC(N)=O)[C@H](O)C1","ZINC001099665820","EAAD"
"Cc1noc(CN2C[C@@H](O)[C@H](NC(=O)Cc3nonc3C)C2)n1","ZINC001077918827","DAAD"
"C[C@H](CNC(=O)C1CC1)NC(=O)[C@]1(C)CCCOC1","ZINC001502594427","CCAD"
"CNC(=O)CN[C@H]1CCC[C@@H](NC(=O)c2cc(Cl)c(Cl)[nH]2)C1","ZINC001376971581","EDAD"
"CN(C)C(=O)C1CN(Cc2c(O)cccc2Br)C1","ZINC001140100980","DDCD"
"CN(Cc1ncnn1CC(F)F)c1nc2ccccc2[nH]1","ZINC000278859734","CEAD"
"C[C@@H](CNC(=O)c1cnccc1-c1nn[nH]n1)c1nncn1C","ZINC001589868638","DBAD"
"Cc1ncn(C)c1C(=O)N1CCC(C)(NC(=O)c2ccncc2)CC1","ZINC000956267520","EDAD"
"Cc1ccnc(O[C@@H]2CCCN(Cc3cncc(C)n3)C2)c1","ZINC001203177489","CFAD"
"Cn1nccc1CN1CCC[C@](C)(CNC(=O)c2ccc(F)cc2)C1","ZINC001368210931","EFAD"
"CC1=C(C)C[C@H](C(=O)N2CCO[C@H](CNc3ncc(F)cn3)C2)CC1","ZINC001066648430","EEAD"
"C[C@@H]1CCCCN1C(=O)NCCNC(=O)N1CCCC[C@H]1C","ZINC000655465128","DEAD"
"O=C(c1ccccc1)N1C[C@H]2CC[C@@H](C1)N2Cc1cnsn1","ZINC001029193752","DEAD"
"CCc1nc(-c2nn[nH]n2)cc(N2CC3C[C@@H]4CC2C[C@H](C3)C4)n1","ZINC001590905047","EEAD"
"COCCONC(=O)CCn1cc([N+](=O)[O-])cn1","ZINC000748774384","CBBD"
"CO[C@H](C)[C@H](C)NC(=O)c1ccc2oc(S)nc2c1","ZINC000832801633","CEAD"
"Cc1ccnc(CN2CC(C)(C)CC[C@H]2CNC(=O)C2CC2)n1","ZINC001089593046","DEAD"
"C#CCN1CCCC[C@H]1CNC(=O)c1cc2c(s1)CCCC2","ZINC001024787813","DFED"
"Cc1cc(C)cc(C(=O)NC[C@H](C)N(C)C(=O)C2CC3(CCC3)C2)c1","ZINC001701232310","EGAD"
"CC/C=C(/C)C(=O)NCCNCC(=O)Nc1c(C)nn(C)c1C","ZINC001124357030","DDAD"
"C#CCN1C[C@]2(CC1=O)COCCN(C(=S)NCCOC)C2","ZINC001274447670","EBED"
"Cc1nn(C)c(C)c1C[C@H](C)C(=O)OCc1cn2c(cccc2C)n1","ZINC000745273376","EFAD"
"C[C@@H](CNC(=O)CCCN1C(=O)CCC1=O)N(C)C(=O)c1cn[nH]c1","ZINC001756036377","EBAD"
"CN(C(=O)c1nccnc1N)[C@H]1CCN(C(=O)CC(N)=O)C1","ZINC000936948241","DAAD"
"O=C(NCC1CN(C(=O)[C@@]23C[C@@H]2CCCC3)C1)c1ccon1","ZINC001001076011","DDAD"
"CCOc1ccc(CN2CCN(C)[C@H](C)[C@H]2C)c(C)c1","ZINC001462131035","CFAD"
"Cc1cc(Cl)cc(C)c1OC(=O)C[C@H]1COC(=O)C1","ZINC000769615410","CFAD"
"COc1ccc(C)cc1[C@H](C)NCC1=CCCOC1","ZINC000078998879","CGAD"
"COCCC(=O)N[C@@H](C)CN(C)C(=O)c1ccc(C(C)C)cc1","ZINC001383825948","DEAD"
"Cc1cc(C(=O)N2C[C@@H](O)[C@H](NC(=O)c3cccnn3)C2)ns1","ZINC001025264404","EBAD"
"CN(CCO[C@H]1CC1(F)F)[C@H]1CCN(C(=O)COC(C)(C)C)C1","ZINC001189725686","EDAD"
"NC(=O)C(=O)NC[C@@H]1CN(Cc2ncnn2CC(F)F)CCCO1","ZINC001150212090","EAAD"
"COCCOC1CCN(C(=O)Nc2nnn(C(C)C)n2)CC1","ZINC000933464130","DCAD"
"CNC(=O)CN1CC[C@H](N(C)C(=O)[C@H]2CCCNC2=O)C1","ZINC001033159614","CAAD"
"CC1(C)C[C@H](NC(=O)[C@H]2CCCN2C2CCCC2)C(=O)O1","ZINC000762042590","CDAD"
"COC1([C@@H](C)NS(=O)(=O)C2(C(=O)O)CCC2)CCC1","ZINC001606707666","CCAD"
"COC(=O)C(C)(C)CS(=O)(=O)NC/C=C\c1cccnc1","ZINC000603380235","DDAD"
"Cc1nc2cc(F)ccc2cc1C(=O)N[C@H]1CC[C@H](F)C1","ZINC000336445571","CGAD"
"C[C@@H](c1nncn1C)N1CCC[C@H](NC(=O)c2ncccc2O)CC1","ZINC001052329192","EDAD"
"Cc1nccn1-c1cc(-c2ccc(C#N)cc2Cl)ncn1","ZINC001244328588","CGED"
"Cn1cccc1C(=O)N1CC(NC(=O)c2cccc3ccncc32)C1","ZINC000998937865","EDAD"
"C[C@]1(c2ccccc2)CCCN1C(=O)[C@@H]1[C@@H](CN)C1(F)F","ZINC001550216408","CEAD"
"CCS(=O)(=O)NCC(=O)Nc1ccc(CS(N)(=O)=O)cc1","ZINC000432566766","EBAD"
"Cc1cccnc1CN[C@H](C)CNC(=O)c1ccccn1","ZINC001418200367","CDAD"
"O=C([C@H]1CCCOC1)N1CCc2c1cc(F)cc2F","ZINC000170793595","CEAD"
"Cc1nsc(C)c1C(=O)N1C[C@H](O)[C@H](CNC(=O)CC(N)=O)C1","ZINC001081373218","EBAD"
"C[C@]1(C(=O)N2CCC(CNC(=O)[C@H]3CCC(=O)NC3)CC2)C=CCC1","ZINC000949290581","EDAD"
"Cc1c(C(=O)NCc2ncnn2C(C)C)[nH]c2c1C(=O)CCC2","ZINC000282859317","DDAD"
"Cc1nonc1NS(=O)(=O)c1ccc(NC(=O)C(C)C)cc1","ZINC000829804061","DDAD"
"CC#CCCNC(=O)N1CCN(S(=O)(=O)NC(C)C)CC1","ZINC000664702968","DBED"
"COc1cc([C@@H](C)N[C@H]2CC[C@@H](C(=O)N3CCCCC3)C2)c(F)cn1","ZINC000367897723","EGAD"
"Cn1cc(C(=O)NCC2CC(NC(=O)c3cnsn3)C2)cn1","ZINC000991890860","DCAD"
"NC(=O)C[C@@H]1COCCN1C[C@@H](O)CC(F)(F)F","ZINC001413016464","CBAD"
"CC(C)(C)OC(=O)N1C[C@H](N[C@H]2CCc3c2cccc3O)CC1=O","ZINC001171701539","EFAD"
"CC(C)[C@@H](O)C(=O)N(C)CCN(C)C(=O)COc1cnn(C)c1","ZINC001457768934","EBAD"
"C[C@H](C[C@H](C)NCc1cnon1)NC(=O)C(=O)NCC1CC1","ZINC001135785198","DBAD"
"O=C(O)[C@@H]1CCN(C(=O)CNCC2CC2)[C@@H]([C@@H]2CCCO2)C1","ZINC001601823527","DCAD"
"ON=Cc1ccccc1-c1cccnc1N1CCCC1","ZINC001236137240","CGED"
"COC[C@@H](O)CN1CC[C@@H](CNC(=O)c2ncn(C)n2)C1","ZINC001366687209","CAAD"
"CCN1CCC(C(=O)Nc2ccc3c(C#N)c[nH]c3c2)CC1","ZINC001146787555","CFED"
"CCOC(=O)[C@@](C)(CNC(=O)[C@H]1CC(=O)N(CC)C1)c1ccccc1","ZINC000188947497","EDAD"
"CCNC(=O)CCC(=O)N[C@@H]1CN([C@@H](C)C(=O)NC)C[C@H]1O","ZINC001191785353","DAAD"
"CCc1ccccc1NC(=O)[C@@H](C)Nc1cccc2c1OCO2","ZINC000543872419","DGAD"
"CO[C@@H](C)C(=O)N1CCC(O)(CN[C@H]2CCCN(C)C2=O)CC1","ZINC000946918542","EBAD"
"Cc1coc(C(=O)NCCOCCN(C)c2cc(C)nc(C)n2)c1","ZINC001115246282","EDAD"
"CCC[C@@H]1CCCC[C@H]1NC(=O)CCn1c(C)cc(O)cc1=O","ZINC000527356722","DFAD"
"C[C@H](CC(=O)NC[C@]12CCC[C@H]1N(CC#N)CC2)c1ccco1","ZINC001107610387","DFED"
"Cc1ccc2c(c1)[C@H](NCCN(C)CC(F)(F)F)[C@@H](C)C2","ZINC000492099307","DGAD"
"O=c1c(-c2nn[nH]n2)cncn1CCOC1CCC1","ZINC001609604928","CBAD"
"CC1(C)CN(c2ncnc3scnc32)Cc2ccccc21","ZINC001118591675","CGAD"
"NC(=O)[C@@H]1CC[C@@H]1C(=O)NC1CN(C(=O)C2CCC2)C1","ZINC000997407972","CBAD"
"CN(CC1CCC1)C(=O)c1cc(Cl)c(Cl)n1C","ZINC000110469802","CGAD"
"CCCC[C@H](C)NC(=O)N1CCc2ncnc(N(C)CC)c2CC1","ZINC001193039497","EFAD"
"CC(=O)N(C)CC(=O)NC1CN(CC(=O)NC2CC2)C1","ZINC001404723489","CAAD"
"C[C@@H](C(=O)N(C)C[C@@H]1COCCO1)c1c(F)cccc1F","ZINC000618227265","CDAD"
"COCCN1C[C@H]2OCCN(C(=O)c3ncn(C)n3)[C@H]2C1","ZINC001083069240","CAAD"
"COCCN1CC(N(C)C(=O)c2ccc3nnnn3c2)C1","ZINC001043329221","CBAD"
"CSc1nsc(NC(=O)[C@H](C)c2ccccc2)n1","ZINC000161698481","CGAD"
"CO[C@@H]1CCOC[C@@H]1NC(=O)N1C[C@H](c2ccccc2)C2(CCC2)C1","ZINC001552329046","EFAD"
"CC[C@@]1(C(=O)N2CC[C@@H](NCc3nnc(C)o3)C2)CCNC1=O","ZINC000968970001","DBAD"
"C[C@H](CNCc1ccccn1)N(C)C(=O)[C@H](C)NC(N)=O","ZINC001401212639","CCAD"
"CN1CC[C@@H](C(=O)N2CC[C@H](CCNCCc3cnn[nH]3)C2)C1","ZINC001576880562","DCAD"
"Cc1ccc(C(=O)O)cc1-c1nc2c(c(N3CCOCC3)n1)CNC2","ZINC001241000281","EDAD"
"C=C(C)CN1CCCO[C@@H](CNC(=O)C[C@@H](C)NC(N)=O)C1","ZINC001149721839","DCED"
"CN(C)C(=O)Cn1cnc(NC(=O)C2(S(C)(=O)=O)CC2)n1","ZINC001411977261","DAAD"
"CC[C@H](NC1[C@H]2CC[C@H]1CC(N)C2)c1nccn1C","ZINC000519766338","CDAD"
"C[C@@H](N[C@@H]1CCN(C(=O)c2cnn(CCF)c2)C1)C(N)=O","ZINC000969160132","CBAD"
"COCC1(C(=O)N[C@@H]2CCN(Cc3c(C)noc3C)C[C@H]2O)CC1","ZINC001099915947","ECAD"
"CN1C(=O)CC[C@@H]1CC(=O)Nc1cccc(CN2CCCCC2=O)c1","ZINC000667641241","EEAD"
"Cn1nnnc1CN1CC(CNC(=O)Cn2ccccc2=O)C1","ZINC001494626642","DAAD"
"CCc1noc(CN[C@@H](C)[C@@H]2CCCN(C(=O)c3c[nH]nc3C)C2)n1","ZINC001036434400","EDAD"
"COc1nccc(-c2noc(Cn3ccc(=N)nc3O)n2)c1F","ZINC001249209117","DCAD"
"CC#CC[C@@H](CO)NC(=O)c1cn(C(C)(C)C)nc1C","ZINC000649182925","CDED"
"CC[C@@H](CNC(=O)c1ccnc(C)c1)NCC(=O)NC[C@H]1CCCO1","ZINC001367136955","ECAD"
"CCN(CC(=O)N[C@H](c1ccccc1)[C@@H](O)c1ccccc1)C1CC1","ZINC000293613914","EGAD"
"C=C(C)CN(Cc1ccc(CO)o1)C(=O)C[C@@H]1C[C@@H]1C","ZINC000356497160","CFED"
"CO[C@@H](C(=O)O)C(=O)N1CCN(c2ncccc2[N+](=O)[O-])CC1","ZINC001604422599","DBBD"
"COC[C@@H](C)N1[C@H]2CC[C@H]1CN(C(=O)C1CCC(C)(C)CC1)C2","ZINC001029602236","DFAD"
"NC(=O)Nc1ccc(CN[C@@H]2CC[C@H]3SCCS[C@H]23)cc1","ZINC000775363603","DFAD"
"O=C(C1=CCCC1)N1CCC[C@@H](C[C@H]2CCOC2)C1","ZINC000678651454","CFAD"
"C[C@@H](CCNC(=O)C(N)=O)NC(=O)C[C@@H]1CCN(C)C1=O","ZINC001078118250","CAAD"
"Cc1scc(C(=O)NC[C@@H]2CCCN(C(=O)C(F)(F)F)C2)c1C","ZINC000848333192","EFAD"
"O=C(c1cncc(Cl)c1)N1CCO[C@@H]2CN(CCO)C[C@@H]21","ZINC001083224311","DCAD"
"CNS(=O)(=O)CC(=O)NCc1ncnn1C(C)(C)C","ZINC001647181485","CBAD"
"CC(C)OCCC(=O)NC1(CNC(=O)C2(NC(N)=O)CC2)CC1","ZINC001389818955","EBAD"
"C#CCNC(=O)[C@H](C)N[C@@H]1CCCC[C@H]1NC(=O)C(N)=O","ZINC001228296406","CAED"
"Cc1ncccc1CNC[C@@H]1CCCN1C(=O)[C@]1(C)CCNC(=O)C1","ZINC001045090168","EDAD"
"CO[C@@H]1CCCN(C(=O)N[C@H](C)COc2ccccc2)C1","ZINC000728129968","CEAD"
"C[C@@H]1CN(CCNS(=O)(=O)CCS(C)(=O)=O)CCO1","ZINC000780855764","DAAD"
"Cc1ccc(CN2CC[C@@H]3[C@@H]2CCCN3C(=O)[C@H]2C[C@@H]2C(F)F)cc1","ZINC001049439761","EGAD"
"CNC(=O)[C@@H]1CCC[C@H]1NC[C@@H](c1ccccc1)C(C)C","ZINC000474883799","CFAD"
"COCCNC(=O)N1CCC[C@H](Oc2ncccn2)C1","ZINC000585339530","CCAD"
"C[C@@]1(CNC(=O)NCC[C@@H]2CCCNC2)OCCc2sccc21","ZINC000572263190","EEAD"
"O=C(N[C@H]1CCCC[C@H]1NCc1ccncc1F)c1ccccc1","ZINC001549375366","EGAD"
"O=C(NC[C@@H]1CCCCN1c1cnc(F)cn1)[C@H]1CNC(=O)N1","ZINC001060171627","DBAD"
"C#CCCN1CCOC[C@H]1CNC(=O)c1ncoc1C(F)(F)F","ZINC001050988716","EDED"
"CC(C)COCCNCCCC[C@H](C)NC(=O)CCc1ccon1","ZINC001171802842","EFAD"
"C[C@@H]1C[C@@H](NC(=O)N[C@@H]2CCCSC2)CS1","ZINC000413351893","CEAD"
"Cn1cc(C(=O)N2CC(NC(=O)[C@H]3CC34CC4)C2)ncc1=O","ZINC001000498160","DBAD"
"O=C(NCCc1nncs1)C(=O)[C@H](O)[C@H](O)[C@H](O)CO","ZINC001144907423","DAAD"
"Cc1c([C@@H](C)NC[C@@H](C)N)nnn1-c1cccc(Cl)c1","ZINC000643528999","CEAD"
"CC(C)C#CC(=O)N(CCO)CCNC(=O)[C@H]1OCC[C@H]1C(C)C","ZINC001057525053","ECED"
"CC(C)CCN1CC[C@H](CNC(=O)c2cc3c(s2)CCC3)C1","ZINC001028972331","DGAD"
"C[C@@H]1OCC[C@@H]1N(CCO)C(=O)Nc1nc(CCC(=O)O)cs1","ZINC001604835253","EDAD"
"Cc1cnc(N2CCN(C(=O)C3(O)CNC3)CC2)s1","ZINC000662737683","CBAD"
"COc1ccccc1-c1ccccc1-c1noc(C[C@H](C)N)n1","ZINC001248177705","DGAD"
"CCc1ccc(N2CCC(c3cn[nH]c3)CC2)nc1","ZINC001515427086","CFAD"
"C/C=C\C[C@@H](NC(=O)Cn1nc(C)n(C)c1=O)C(=O)OCC","ZINC000594340608","DBAD"
"COCC(C)(C)CCCNC(=O)N[C@@H]1CCOC(C)(C)C1","ZINC000345430221","DFAD"
"CC[C@@H](SC)C(=O)N1CC(NC(=O)CN2CC(=O)N(C)C2=O)C1","ZINC000996389192","EBAD"
"Cc1nonc1CC(=O)N(C)C[C@H](O)CNCc1cnon1","ZINC001411119531","DAAD"
"CCN(CCNCc1ccn(C)n1)C(=O)c1cncnc1C(C)C","ZINC001754081631","EDAD"
"CC(=O)N[C@@H](CS(=O)(=O)C[C@@H](O)CO)C(=O)O","ZINC001589156724","CAAD"
"CN1C(=O)CO[C@@H](C(=O)NCCCO)[C@@H]1c1ccc(F)cc1","ZINC000096181753","DCAB"
"CN1CCN(CCCc2cccc(C(=O)N3CCCC3)c2)CC1","ZINC001250227067","DEAD"
"C[C@H](NCCNC(=O)[C@H]1C[C@H]1C(N)=O)c1nnnn1C1CC1","ZINC001133908480","DAAD"
"C[C@H]1C[C@@H](NC(=O)CN2C(=O)CCC2=O)CN1C(=O)Cc1nc[nH]n1","ZINC001014087935","EAAD"
"C[C@H](CNC(=O)c1csnn1)N(C)CCn1cncn1","ZINC001424985403","CBAD"
"C[C@@H](NCC1CC1)[C@H]1CCN(C(=O)c2cnn(C)c2Cl)C1","ZINC001047882359","DDAD"
"C[C@@H]1CN(C(=O)CCC2(C)CC2)C[C@H]1NC(=O)Cc1cc[nH]n1","ZINC001072664919","DDAD"
"Cc1c[nH]cc1C(=O)N[C@]1(CO)CCCN(C(=O)c2ncn(C)n2)C1","ZINC001055951541","EBAD"
"CCOC(=O)NCC(=O)Nc1cc(-c2cc(F)cc(F)c2)nn1C","ZINC000278944449","EEAD"
"CC[C@](C)(O)CNC(=O)NCCN1C(=O)CNC1=O","ZINC000265008470","CAAD"
"COc1cc(C)nc(N2CCO[C@H](CNC(=O)[C@@]3(C)C=CCC3)C2)n1","ZINC001104342857","EDAD"
"COCC(=O)NC1CCC(NC(=O)CC2CCCCC2)CC1","ZINC001454523134","DEAD"
"Cc1cc(C(=O)N2CC[C@@]3(CCN([C@H]4CCN(C)C4=O)C3)C2)oc1C","ZINC001041213349","EDAD"
"CCOc1ccc(C(=O)N[C@H]2C[C@@H](NC(=O)C3(C)CC3)C2)cc1C","ZINC000974212903","EFAD"
"Cc1cc(C(=O)N[C@H]2CCN(CC(=O)N(C)C)C[C@@H]2O)n[nH]1","ZINC001090103482","DAAD"
"CCc1cnc(CN(C)[C@@H]2CCN(C(=O)Cc3cncn3C)C2)o1","ZINC000972733794","EDAD"
"O=C(N[C@@H]1CCCN(CCn2cncn2)CC1)c1cnnc(O)c1","ZINC001052467265","ECAD"
"O=C(Cn1ccccc1=O)NCCCN[C@@H]1CCC(=O)NC1=O","ZINC001175732952","DAAD"
"CCC(=O)NC[C@@H](C)CNC(=O)[C@H]1CCC(F)(F)C1","ZINC001451451104","CDAD"
"CN(CCCNc1ncc(Cl)cn1)Cc1ccccc1","ZINC000093536641","CGAD"
"Cn1cc(C(=O)NC[C@@H]2COCCN2Cc2nc(O)n[nH]2)nn1","ZINC001050897118","DAAD"
"C[C@H]1CCCC[C@]1(CNc1ncccn1)NC(=O)c1ccc(C#N)[nH]1","ZINC001103601917","EEED"
"CCC(=O)NCC(=O)NC[C@@H](C)NCC(=O)NC(=O)NC1CC1","ZINC001480437346","EAAD"
"CC(C)(C(=O)N1CCO[C@H](c2ccco2)C1)[C@@H](N)c1ccccc1","ZINC000653174935","EFAD"
"COc1cc(CN[C@H](C)CNC(=O)CN2CCNC(=O)C2)ccn1","ZINC001390461658","EBAD"
"NC(=O)C1(O)CCN(C(=O)Nc2ccsc2)CC1","ZINC000639796849","CCAD"
"C=CCN1C(=O)N([C@@H](C)c2ccccn2)C(=O)[C@H]1Cc1ccccc1","ZINC000349314180","EGED"
"C[C@H](O)CN1C[C@H](O)[C@@H](N(C)C(=O)c2cnc3c(c2)ncn3C)C1","ZINC001047484073","EBAD"
"COC[C@@H](O)CNC[C@@]1(C)CCN(C(=O)C(C)(C)CNC(C)=O)C1","ZINC001439900736","EBAD"
"C[C@H]1Cc2cc(CNCCc3cnn(C)c3)ccc2O1","ZINC000720782775","CEAD"
"C[C@@H]1CCN(CC(=O)NCCCNCC[C@@H]2CCOC2)C1","ZINC001166677979","CCAD"
"C#CCCNCC(C)(C)C1CCN(C(=O)[C@@H](C)OCC(C)C)CC1","ZINC001101516277","EFED"
"CCO[C@@H]1C[C@H](NC(=O)[C@@]2(N)CC2(F)F)C12CCCC2","ZINC000632830966","CDAD"
"COc1ccc(Cl)cc1C(=O)N1CCO[C@H](c2ccco2)C1","ZINC000176737739","DGAD"
"CCC(=O)Cn1c(C(F)(F)F)ccc(C(N)=O)c1=O","ZINC000339631516","CCAD"
"C[C@@H](CNC(=O)c1ccc(NC(N)=O)cc1)N(C)c1ccccc1","ZINC000047121029","EEAD"
"c1ccc([C@H]2CCN(c3ncnc4c3OCCN4)C2)cc1","ZINC000665696032","CEAD"
"CCn1ncc(C(=O)NC2CC(N(C)C(=O)CCCN(C)C)C2)c1C","ZINC001452254385","EDAD"
"CC(C)[C@@H](F)C(=O)NCC1(O)CCN(C(=O)[C@H]2OCC[C@H]2C)CC1","ZINC001074735716","ECAD"
"N[C@@H]1CCCO[C@@H]1C1CCN(C(=O)CNC(=O)c2cccnc2)CC1","ZINC000647087861","ECAD"
"CCCN1Cc2cccc(NC(=O)[C@H]3CCNC3=O)c2C1","ZINC000668042188","CDAD"
"Cn1cnnc1S(=O)(=O)N[C@@H](CO)C1CCOCC1","ZINC001413347188","CAAD"
"CC[C@@H](CC(F)F)CN1C(=O)N[C@@](C)(C2CCCC2)C1=O","ZINC000657260292","DGAD"
"Cc1ccc(C(=O)N[C@@H](C)C[C@H](O)c2cccs2)c(F)c1","ZINC000269860241","DGAD"
"O=C(c1c[nH]c2cccnc12)N1CC(Cc2ccsc2)C1","ZINC000622254482","CFAD"
"CCN(CC)C(=O)N1CCC(C(=O)NCCCC(=O)O)CC1","ZINC000362441505","DDAD"
"CS(=O)(=O)NCCN(C1CC1)S(C)(=O)=O","ZINC000078405151","CAAD"
"C[C@@H](C[C@H]1CCOC1)NC(=O)N1C[C@@H](O)C[C@H]1CO","ZINC000681524781","CBAD"
"O=C(CC[C@H]1CC1(Cl)Cl)NCC(=O)OC1CCCCC1","ZINC000829594295","DFAD"
"C[C@@H]1OCCO[C@@H]1C(=O)N(C)[C@@H]1CCN(C(=O)Cc2nc[nH]n2)C1","ZINC000939799360","EBAD"
"C#CCC1(C(=O)NC[C@H]2CN(C(=O)C(N)=O)C[C@H]2C)CCC1","ZINC001053307271","DBED"
